hip-angle,knee-angle,ankle-angle,phase
8.887789098,6.121234536,77.13471883,1
6.701749994,7.427394952,78.62649639,1
8.608286887,16.36265038,85.82254912,1
3.281775458,11.678295,84.06151189,1
1.814704774,12.08565636,84.16636956,1
0.9068571512,15.36958116,90.90700338,1
0.350374052,19.23102445,95.64480437,1
1.383399634,19.51353441,95.36319782,1
0.5695692189,22.21239294,96.08160732,1
0.1198028145,23.20882282,91.56720902,1
3.091283966,30.44327915,83.55919638,1
7.221172261,41.5634363,61.18094273,1
4.539810302,39.66962102,52.13860321,0
12.36634829,42.35420296,54.72757855,0
14.26253137,40.75022076,79.50271912,0
17.01048055,38.78695838,79.49466073,0
19.6153612,30.54807287,73.62454735,0
20.62003033,19.84415487,64.53206944,0
19.4323112,9.810231549,67.64002532,0
19.52427141,11.08173711,69.33610104,1
18.07282039,10.47506768,67.51206493,1
12.04314201,7.395819894,69.45518815,1
11.08809043,4.258846122,68.19859051,1
7.199121553,3.924507876,70.50019648,1
6.93972539,13.28865413,77.56414975,1
4.201936358,14.8779402,79.46525157,1
2.168198876,11.06804571,83.04578445,1
0.9061332044,8.343891584,83.55881867,1
0.5605771169,11.8844379,90.55896548,1
1.477983834,16.97470981,92.69689011,1
1.534881312,17.45571369,90.72261116,1
0.3826529974,11.26489633,77.50843691,1
0.2950634685,11.95548025,76.48367931,1
0.5289298211,11.86013047,71.92132797,1
0.9596057585,10.07167531,73.93795184,1
0.4645289161,11.80281828,71.12595157,1
0.9874858473,12.64857773,74.15645147,1
0.01592102203,11.89831517,75.124318,1
0.2379379159,13.0822807,78.25755058,1
0.17102405,5.945643166,78.59679932,1
0.2763036778,6.01979801,76.05271305,1
0.5874123541,5.588121001,74.36276301,1
0.1328053635,4.701450607,73.00333093,1
0.1819844375,4.701450607,72.63905749,1
0.5734266879,5.142071931,73.57941168,1
0.5734266879,5.142071931,73.57941168,1
0.5734266879,5.142071931,73.57941168,1
0.5734266879,5.142071931,73.57941168,1
0.571687448,5.142071931,73.57941168,1
0.571687448,5.142071931,73.57941168,1
0.571687448,5.142071931,73.57941168,1
0.2551587238,5.142071931,73.57941168,1
0.2551587238,5.142071931,73.57941168,1
0.2586368868,5.142071931,73.57941168,1
0.2586368868,5.142071931,73.57941168,1
1.017411046,5.58605629,73.57941168,1
